"","number","fieldnumber","depth_capture_range_ft","depth_capture_avg_m","depth_avg","weight_g","SL_mm","TL_mm","sex","gonad_weight_g","guts_preserved","whole_fish_preserved","notes","gonad_index","tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.","depth_categorical","muscle_ctotal","muscle_ntotal","scale_ctotal","scale_ntotal","heart_ctotal","heart_ntotal","calibration","tp","tissue","c","n"
"26","CUR_LION19010","CURSH19-08","200 ft",60.96,200,581,255,340,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",185.96,58.99,116.23,40.11,178.06,48.52,"average",2.50735294117647,"heart",-17.46,8.81
"27","CUR_LION19010","CURSH19-08","200 ft",60.96,200,581,255,340,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",185.96,58.99,116.23,40.11,178.06,48.52,"average",2.50735294117647,"scale",-14.54,8.64
"28","CUR_LION19011","CURSH19-08","200 ft",60.96,200,236,183,245,"M","Not Recorded","YES","YES","","immature (virgin)","S, M, H","deep",187.39,59.09,122.31,42.14,186.06,48.66,"single",3.24411764705882,"muscle",-12.14,11.63
"29","CUR_LION19011","CURSH19-08","200 ft",60.96,200,236,183,245,"M","Not Recorded","YES","YES","","immature (virgin)","S, M, H","deep",187.39,59.09,122.31,42.14,186.06,48.66,"single",3.24411764705882,"heart",-13.46,10.83
"30","CUR_LION19011","CURSH19-08","200 ft",60.96,200,236,183,245,"M","Not Recorded","YES","YES","","immature (virgin)","S, M, H","deep",187.39,59.09,122.31,42.14,186.06,48.66,"single",3.24411764705882,"scale",-9.6,11.73
"31","CUR_LION19012","CURSH19-08","17 ft",5.1816,17,147,166,225,"F","9","YES","YES","","Actively Spawning","S, M, H","shallow",183.81,57.14,115.47,40.1,182.31,49.36,"average",2.46764705882353,"muscle",-17.4,8.99
"32","CUR_LION19012","CURSH19-08","17 ft",5.1816,17,147,166,225,"F","9","YES","YES","","Actively Spawning","S, M, H","shallow",183.81,57.14,115.47,40.1,182.31,49.36,"average",2.46764705882353,"heart",-17.92,8.62
"33","CUR_LION19012","CURSH19-08","17 ft",5.1816,17,147,166,225,"F","9","YES","YES","","Actively Spawning","S, M, H","shallow",183.81,57.14,115.47,40.1,182.31,49.36,"average",2.46764705882353,"scale",-15.175,8.88
"34","CUR_LION19013","CURSH19-08","17 ft",5.1816,17,101,145,193,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",180.99,56.52,126.93,44.15,179.71,46.52,"average",2.55,"muscle",-16.255,9.27
"35","CUR_LION19013","CURSH19-08","17 ft",5.1816,17,101,145,193,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",180.99,56.52,126.93,44.15,179.71,46.52,"average",2.55,"heart",-17.04,8.57
"36","CUR_LION19013","CURSH19-08","17 ft",5.1816,17,101,145,193,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",180.99,56.52,126.93,44.15,179.71,46.52,"average",2.55,"scale",-14.14,8.82
"37","CUR_LION19014","CURSH19-08","120 ft",36.576,120,23,90,133,"M","Not Recorded","YES","YES","scales taken from multiple spots on the body in order to get enough scales for the isotope sample due to the small size of the individual","immature (virgin)","*S, M, H","shallow",183.64,57.23,124.28,42.05,115.29,28.45,"single",2.50882352941176,"muscle",-17.17,9.13
"38","CUR_LION19014","CURSH19-08","120 ft",36.576,120,23,90,133,"M","Not Recorded","YES","YES","scales taken from multiple spots on the body in order to get enough scales for the isotope sample due to the small size of the individual","immature (virgin)","*S, M, H","shallow",183.64,57.23,124.28,42.05,115.29,28.45,"single",2.50882352941176,"heart",-18.39,8.34
"39","CUR_LION19014","CURSH19-08","120 ft",36.576,120,23,90,133,"M","Not Recorded","YES","YES","scales taken from multiple spots on the body in order to get enough scales for the isotope sample due to the small size of the individual","immature (virgin)","*S, M, H","shallow",183.64,57.23,124.28,42.05,115.29,28.45,"single",2.50882352941176,"scale",-15.38,8.71
"40","CUR_LION19015","CURSH19-08","120 ft",36.576,120,13,79,107,"M","Not Recorded","YES","YES","scales taken from multiple spots on the body in order to get enough scales for the isotope sample due to the small size of the individual","immature (virgin)","*S, M, H","shallow",177.22,55.07,132.31,43.34,48.32,10.57,"single",2.37941176470588,"muscle",-17.39,8.69
"41","CUR_LION19015","CURSH19-08","120 ft",36.576,120,13,79,107,"M","Not Recorded","YES","YES","scales taken from multiple spots on the body in order to get enough scales for the isotope sample due to the small size of the individual","immature (virgin)","*S, M, H","shallow",177.22,55.07,132.31,43.34,48.32,10.57,"single",2.37941176470588,"heart",-18.72,7.82
"42","CUR_LION19015","CURSH19-08","120 ft",36.576,120,13,79,107,"M","Not Recorded","YES","YES","scales taken from multiple spots on the body in order to get enough scales for the isotope sample due to the small size of the individual","immature (virgin)","*S, M, H","shallow",177.22,55.07,132.31,43.34,48.32,10.57,"single",2.37941176470588,"scale",-15.45,8.57
"43","CUR_LION19016","CURSH19-09","40 - 80 ft",12.192,40,259,196,258,"M","Not Recorded","YES","YES","","Immature(virgin)","S, M, H","shallow",194.08,56.45,115.95,39.47,180.07,47.29,"single",2.42352941176471,"muscle",-17.05,8.84
"44","CUR_LION19016","CURSH19-09","40 - 80 ft",12.192,40,259,196,258,"M","Not Recorded","YES","YES","","Immature(virgin)","S, M, H","shallow",194.08,56.45,115.95,39.47,180.07,47.29,"single",2.42352941176471,"heart",-17.26,9.02
"45","CUR_LION19016","CURSH19-09","40 - 80 ft",12.192,40,259,196,258,"M","Not Recorded","YES","YES","","Immature(virgin)","S, M, H","shallow",194.08,56.45,115.95,39.47,180.07,47.29,"single",2.42352941176471,"scale",-14.09,8.57
"46","CUR_LION19017","CURSH19-09","40 - 80 ft",15.24,50,181,183,247,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",192.51,61.1,110.28,37.74,175.02,45.89,"average",2.34558823529412,"muscle",-16.69,8.575
