"","depth_categorical","meanmuscleC","sdmuscleC","meanscaleC","sdscaleC","meanheartC","sdheartC","meanmuscleN","sdmuscleN","meanscaleN","sdscaleN","meanheartN","sdheartN"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","deep",-16.7423076923077,1.4757407961549,-14.1584615384615,1.52096376328655,-17.7338461538462,1.44447532840093,9.74307692307692,0.706291778886798,9.35076923076923,0.760695531936196,9.74692307692308,0.871353206372944
"3","shallow",-16.5483333333333,0.56258226911609,-14.064,0.383201737246286,-16.9736666666667,0.389727316148588,8.816,0.209865603252585,8.626,0.243275270306822,8.37833333333333,0.346882373366507
