,number,fieldnumber,depth_capture_range_ft,depth_capture_avg_m,depth_avg,weight_g,SL_mm,TL_mm,sex,gonad_weight_g,guts_preserved,whole_fish_preserved,notes,gonad_index,tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.,depth_categorical,muscle_ctotal,muscle_ntotal,scale_ctotal,scale_ntotal,heart_ctotal,heart_ntotal,calibration,tp,tissue,c,n,tissuedepth
135,CUR_LION19046,CURASUB19-06,425,7.62,25,740,315,395,M,<1,YES,YES,,Spawning Capable,"S, M, H",shallow,198.21,63.7,79.31,26.45,178.42,48.42,single,3.073529412,scale,-14.01,9.38,scale_shallow
138,CUR_LION19047,CURSH19-13,65,16.4592,54,160,155,220,M,<1,YES,YES,immature,Immature (virgin),"S, M, H",shallow,183.62,57.91,118.62,41.12,185.35,49.57,single,2.341176471,scale,-13.87,8.46,scale_shallow
141,CUR_LION19048,CURSH19-13,60,18.288,60,63,125,175,F,<1,YES,YES,,Early Developing ,"S, M, H",shallow,181.915,57.37,112.34,38.82,189.36,47.46,average,2.408823529,scale,-14.25,8.82,scale_shallow
144,CUR_LION19049,CURSH19-14,47-60,13.716,45,137,155,220,F,<1,YES,YES,immature,Immature/early developing,"S, M, H",shallow,187.4,59.51,123.41,43.78,187.09,49.69,single,2.355882353,scale,-13.57,8.49,scale_shallow
147,CUR_LION19050,CURSH19-14,47-60,16.764,55,118,150,195,F,<1,YES,YES,,Early developing,"S, M, H",shallow,186.36,57.27,124.79,42.23,184.29,46.47,single,2.388235294,scale,-14,8.25,scale_shallow
150,CUR_LION19051,CURSH19-14,47-60,18.288,60,149,160,225,?,<1,YES,YES,,immature (virgin),"S, M, H",shallow,183.45,56.81,121.9,41.94,185.77,48.78,single,2.367647059,scale,-13.8,8.35,scale_shallow
186,CUR_LION19064,CURSH19-15,50-73,18.288,60,132,160,210,F,<1,YES,YES,immature,Early Developing ,"S, M, H",shallow,184.38,56.98,121.45,40.57,188.915,49.355,average,2.467647059,scale,-13.88,8.56,scale_shallow
189,CUR_LION19065,CURSH19-15,50-73,15.24,50,211,185,235,F,<1,YES,YES,immature,Early developing,"S, M, H",shallow,194.58,57.7,126.77,43.615,189.56,47.675,average,2.352941176,scale,-13.865,8.51,scale_shallow
192,CUR_LION19066,CURSH19-15,50-73,22.2504,73,130,155,210,M,<1,YES,YES,,immature (virgin),"S, M, H",shallow,186.095,56.845,123.27,42.01,182.64,49.45,average,2.389705882,scale,-13.76,8.73,scale_shallow
195,CUR_LION19067,CURSH19-15,50-73,19.812,65,175,175,240,F,<1,YES,YES,"immature, previously sexed as M",early developing,"S, M, H",shallow,190.48,58.86,120.16,40.34,186.69,49.2,single,2.414705882,scale,-14.32,8.36,scale_shallow
